Entity,Code,Day,"Daily new confirmed cases of COVID-19 per million people (rolling 7-day average, right-aligned)"
Africa,,2020-01-09,0
Africa,,2020-01-10,0
Africa,,2020-01-11,0
Africa,,2020-01-12,0
Africa,,2020-01-13,0
Africa,,2020-01-14,0
Africa,,2020-01-15,0
Africa,,2020-01-16,0
Africa,,2020-01-17,0
Africa,,2020-01-18,0
Africa,,2020-01-19,0
Africa,,2020-01-20,0
Africa,,2020-01-21,0
Africa,,2020-01-22,0
Africa,,2020-01-23,0
Africa,,2020-01-24,0
Africa,,2020-01-25,0
Africa,,2020-01-26,0
Africa,,2020-01-27,0
Africa,,2020-01-28,0
Africa,,2020-01-29,0
Africa,,2020-01-30,0
Africa,,2020-01-31,0
Africa,,2020-02-01,0
Africa,,2020-02-02,0
Africa,,2020-02-03,0
Africa,,2020-02-04,0
Africa,,2020-02-05,0
Africa,,2020-02-06,0
Africa,,2020-02-07,0
Africa,,2020-02-08,0
Africa,,2020-02-09,0
Africa,,2020-02-10,0
Africa,,2020-02-11,0
Africa,,2020-02-12,0
Africa,,2020-02-13,0
Africa,,2020-02-14,0
Africa,,2020-02-15,0.00010089351
Africa,,2020-02-16,0.00010089351
Africa,,2020-02-17,0.00010089351
Africa,,2020-02-18,0.00010089351
Africa,,2020-02-19,0.00010089351
Africa,,2020-02-20,0.00010089351
Africa,,2020-02-21,0.00010089351
Africa,,2020-02-22,0
Africa,,2020-02-23,0
Africa,,2020-02-24,0
Africa,,2020-02-25,0
Africa,,2020-02-26,0.00010089351
Africa,,2020-02-27,0.00010089351
Africa,,2020-02-28,0.00010089351
Africa,,2020-02-29,0.00020178701
Africa,,2020-03-01,0.00020178701
Africa,,2020-03-02,0.00030268054
Africa,,2020-03-03,0.00080714806
Africa,,2020-03-04,0.0013116156
Africa,,2020-03-05,0.0024214443
Africa,,2020-03-06,0.0028250183
Africa,,2020-03-07,0.0041366336
Africa,,2020-03-08,0.0077688
Africa,,2020-03-09,0.00807148
Africa,,2020-03-10,0.008878629
Africa,,2020-03-11,0.009483989
Africa,,2020-03-12,0.010896499
Africa,,2020-03-13,0.014932239
Africa,,2020-03-14,0.019068873
Africa,,2020-03-15,0.02270104
Africa,,2020-03-16,0.030066265
Africa,,2020-03-17,0.03823864
Africa,,2020-03-18,0.047823522
Africa,,2020-03-19,0.056500364
Africa,,2020-03-20,0.070625454
Africa,,2020-03-21,0.08636484
Africa,,2020-03-22,0.0978667
Africa,,2020-03-23,0.120365955
Africa,,2020-03-24,0.14881793
Africa,,2020-03-25,0.17686632
Africa,,2020-03-26,0.21258262
Africa,,2020-03-27,0.25909454
Africa,,2020-03-28,0.30197427
Africa,,2020-03-29,0.3140815
Africa,,2020-03-30,0.33758968
Africa,,2020-03-31,0.3542371
Africa,,2020-04-01,0.36967382
Africa,,2020-04-02,0.38036853
Africa,,2020-04-03,0.39883202
Africa,,2020-04-04,0.41991878
Africa,,2020-04-05,0.45634133
Africa,,2020-04-06,0.47187895
Africa,,2020-04-07,0.48882905
Africa,,2020-04-08,0.5118328
Africa,,2020-04-09,0.5188953
Africa,,2020-04-10,0.50991577
Africa,,2020-04-11,0.49932197
Africa,,2020-04-12,0.5096131
Africa,,2020-04-13,0.5123372
Africa,,2020-04-14,0.5232337
Africa,,2020-04-15,0.5332222
Africa,,2020-04-16,0.5597572
Africa,,2020-04-17,0.60869056
Africa,,2020-04-18,0.6714463
Africa,,2020-04-19,0.7061537
Africa,,2020-04-20,0.7551879
Africa,,2020-04-21,0.8033141
Africa,,2020-04-22,0.8319679
Africa,,2020-04-23,0.8866522
Africa,,2020-04-24,0.8903852
Africa,,2020-04-25,0.89583343
Africa,,2020-04-26,0.9293301
Africa,,2020-04-27,0.9550579
Africa,,2020-04-28,0.9462802
Africa,,2020-04-29,0.99692875
Africa,,2020-04-30,1.0443487
Africa,,2020-05-01,1.1647147
Africa,,2020-05-02,1.1977068
Africa,,2020-05-03,1.2580411
Africa,,2020-05-04,1.2940601
Africa,,2020-05-05,1.4439878
Africa,,2020-05-06,1.4749622
Africa,,2020-05-07,1.4805113
Africa,,2020-05-08,1.5255098
Africa,,2020-05-09,1.724371
Africa,,2020-05-10,1.7936848
Africa,,2020-05-11,1.9448233
Africa,,2020-05-12,1.9493635
Africa,,2020-05-13,2.060548
Africa,,2020-05-14,2.1531684
Africa,,2020-05-15,2.1826293
Africa,,2020-05-16,2.063474
Africa,,2020-05-17,2.1084726
Africa,,2020-05-18,2.1777864
Africa,,2020-05-19,2.1935258
Africa,,2020-05-20,2.2279305
Africa,,2020-05-21,2.3362901
Africa,,2020-05-22,2.4551427
Africa,,2020-05-23,2.610922
Africa,,2020-05-24,2.6871977
Africa,,2020-05-25,2.7271516
Africa,,2020-05-26,2.8249173
Africa,,2020-05-27,2.8572032
Africa,,2020-05-28,2.9791834
Africa,,2020-05-29,3.0199444
Africa,,2020-05-30,3.1944902
Africa,,2020-05-31,3.4130256
Africa,,2020-06-01,3.5335934
Africa,,2020-06-02,3.7464786
Africa,,2020-06-03,3.8716874
Africa,,2020-06-04,3.8771358
Africa,,2020-06-05,4.171442
Africa,,2020-06-06,4.2222924
Africa,,2020-06-07,4.2968526
Africa,,2020-06-08,4.284039
Africa,,2020-06-09,4.3642497
Africa,,2020-06-10,4.553122
Africa,,2020-06-11,4.662188
Africa,,2020-06-12,4.6371665
Africa,,2020-06-13,4.820894
Africa,,2020-06-14,5.03953
Africa,,2020-06-15,5.343522
Africa,,2020-06-16,5.5062633
Africa,,2020-06-17,5.5241213
Africa,,2020-06-18,5.7713103
Africa,,2020-06-19,5.9411144
Africa,,2020-06-20,6.015372
Africa,,2020-06-21,6.15067
Africa,,2020-06-22,6.2044463
Africa,,2020-06-23,6.2872796
Africa,,2020-06-24,6.4931026
Africa,,2020-06-25,6.750482
Africa,,2020-06-26,7.0305624
Africa,,2020-06-27,7.2853184
Africa,,2020-06-28,7.5394692
Africa,,2020-06-29,7.7343955
Africa,,2020-06-30,7.8840203
Africa,,2020-07-01,8.125055
Africa,,2020-07-02,8.402815
Africa,,2020-07-03,8.627101
Africa,,2020-07-04,8.976697
Africa,,2020-07-05,9.359891
Africa,,2020-07-06,9.633716
Africa,,2020-07-07,9.990576
Africa,,2020-07-08,10.252798
Africa,,2020-07-09,10.223136
Africa,,2020-07-10,10.674028
Africa,,2020-07-11,10.937058
Africa,,2020-07-12,11.110494
Africa,,2020-07-13,11.398041
Africa,,2020-07-14,11.589537
Africa,,2020-07-15,11.784866
Africa,,2020-07-16,12.221433
Africa,,2020-07-17,12.304669
Africa,,2020-07-18,12.465695
Africa,,2020-07-19,12.550648
Africa,,2020-07-20,12.807321
Africa,,2020-07-21,12.6469
Africa,,2020-07-22,12.3924465
Africa,,2020-07-23,12.529964
